>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
 	Golf Extreme	*.assets *.assets.resS *.resource	*.Texture2D
 	GolfStar	*.gsr	
 	Gone Fireflies	*.pak	*.png
 	GooCubelets	*.assets *.resource	*.Texture2D
 	GooCubelets 2	*.assets *.resS *.resource	*.Texture2D
 	GooCubelets: OCD	*.assets *.resource	*.Texture2D
 	GooCubelets: The Algoorithm	*.assets *.resource	*.Texture2D
 	GooCubelets: The Void	*.assets *.resS *.resource	*.Texture2D
 	Goodbye My King	*.assets *.assets.resS *.resource	*.Texture2D
 	Google Gadget	*.gg	
 	Google My Tracks	*.kmz	
 	Gorky Zero: Aurora Watching	*.zap	
 	Gothic 3	*.pak	
 	GP500	*.slv *.zip	*.bmp *.wav
 	G-Police	*.rdt	*.wav
 	Granado Espada	*.ipf	
 	Grand Ages: Medieval	*.fuk	*.bmp *.png *.wav
 	Grand Ages: Rome	*.hpk	*.bmp *.dds *.ogg *.tga *.wav
 	Grand Prix 2	*.bin	
 	Grand Prix 3	*.bin	
 	Grand Prix Legends	*.dat	
 	Grandia 2 [Dreamcast]	*.afs	
 	Grandia 2	*.afs	
 	Grandpa	*.assets *.assets.resS *.resource	*.Texture2D
 	Grape Jelly	*.assets *.assets.resS *.resource	*.Texture2D
 	Grav Blazer	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Grave Prosperity: Redux Part 1	*.nw *.pak	*.ogg *.png *.wav
 	Gravity Light	*.assets *.assets.resS *.resource	*.Texture2D
 	Gravity Puzzles	*.assets *.resS *.resource	*.Texture2D
 	Gray Matter	*.pak	*.dds *.png
 	Great Battles of WWII: Stalingrad	*.pak	*.dds *.tga *.wav
 	Green Eggs and Ham	*.mhk	*.wav
 	Greeng 2D Dungeon	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Grey Goo	*.meg	*.dds *.tga
 	Greyfox	*.assets *.resS *.resource *.rgss3a	*.png *.Texture2D
 	Grim Fandango	*.lab	
 	Grim Fandango Remastered	*.lab	*.png
 	Grimm	*.u *.upk	*.SoundNodeWave *.texture2d
 	Grimm and Tonic	*.pak	*.png
 	Ground Control 2: Operation Exodus	*.sdf	
 	GT Legends	*.gtl	*.bmp *.dds *.tga
 	GTA San Andreas	*.img	
 	GTA Vice City	*.adf	*.adf
 	GTA3	*.adf	*.adf
 	GTA4	*.pak	
 	GTR: FIA GT Racing	*.gtr	*.bmp *.tga
 	GTR2	*.gtr	*.bmp *.dds *.tga
 	Guardian of Paradise	*.qda	*.bmp
 	Guess Who?	*.assets *.assets.resS *.resource	*.Texture2D
 	Guinea-Pig	*.nw *.pak	*.png
 	Guitar Hero [PS2]	*.ark	
 	Gunlock	*.dat	
 	Gunman Chronicles	*.pak	
 	Guns And Robots	*.assets *.resS *.resource *.unity3d *.unity3d	*.AudioClip *.Texture2D
 	Guns of Icarus Alliance	*.assets *.resS *.resource	*.Texture2D
 	Guns of Icarus Online	*.assets *.resS *.resource	*.Texture2D
 	Gunship!	*.cat	
 	Gunspell	*.assets	*.AudioClip *.Texture2D
 	Gwent	*.assets *.resS *.resource *.pck	
 	H.I.S.T.O.R.Y T.O.R.C.H.K.A 2	*.assets *.resS *.resource	*.Texture2D
 	H0ST	*.assets *.assets.resS *.resource	*.Texture2D
 	HackyZack	*.dat *.win	*.ogg *.png *.wav
 	Halcyon 6: Lightspeed Edition	*.assets *.resS *.resource	*.Texture2D
 	Halcyon 6: Starbase Commander	*.assets *.resS *.resource	*.Texture2D
 	Half Past Impossible	*.win	*.png *.wav
 	Half-Life [Dreamcast]	*.pak *.wad	
 	Half-Life	*.pak *.wad *.wad	*.mip *.mip *.wav
 	Half-Life 2	*.bsp *.cache *.gcf *.vpk	*.bmp *.mp3 *.vtf *.vtf *.wav
 	Half-Life 2: Deathmatch	*.vpk	*.vtf
 	Half-Life: Blue Shift	*.wad	*.mip
 	Half-Life: Deathmatch Classic	*.wad	*.mip
 	Half-Life: Episode 1	*.vpk	*.mp3 *.vtf *.wav
 	Half-Life: Episode 2	*.vpk	*.mp3 *.vtf *.wav
 	Half-Life: Lost Coast	*.vpk	*.mp3 *.vtf *.wav
 	Half-Life: Opposing Force	*.wad	*.mip
 	Half-Life: Source	*.vpk	*.mp3 *.tga *.vtf *.vtf *.wav
 	Halloween Harry	*.bnk *.-0	*.pcx
 	Halo	*.map	
 	Halo Wars	*.u	*.palette *.texture
 	Hammer And Sickle	*.res	*.ogg
 	Hands Of Fate	*.pak	
 	HandyCopter	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Hanse: The Hanseatic League	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Happy Santa	*.nw *.pak	*.png
 	Hard Truck: 18 Wheels Of Steel	*.zipfs	
 	Hardball	*.glu	
 	Hardcore Survival	*.assets *.resS *.resource	*.Texture2D
 	Harry Potter And The Chamber Of Secrets	*.u *.uax *.unr *.utx	*.palette *.texture *.texture
 	Harry Potter And The Goblet Of Fire	*.big	
 	Harry Potter And The Goblet Of Fire [PS2]	*.big	
 	Harry Potter and the Half-Blood Prince	*.big	
 	Harry Potter And The Order Of The Phoenix	*.big *.shd *.ffs	*.fsh
 	Harry Potter And The Philosophers Stone	*.u	*.palette *.texture
 	Harry Potter And The Prizoner Of Azkaban	*.u	*.palette *.texture
 	Harry Potter And The Prizoner Of Azkaban [XBox]	*.mus	
 	Harry Potter And The Sorcerers Stone	*.u	*.palette *.texture
 	Harry Potter And The Sorcerers Stone [XBox]	*.hog	
 	Harry Potter: Quidditch World Cup	*.ccd *.ccd *.mus	*.asf *.fsh *.fsh
 	Haven Moon	*.assets *.assets.resS *.resource	*.Texture2D
 	Hazard: Journey Of Life	*.u *.upk *.udk	*.texture2d
 	Head Shot	*.assets *.resS *.resource	*.Texture2D
 	HeadRush	*.srf	
 	Hearts Of Iron 3	*.rar	*.bmp *.dds
 	Heath: The Unchosen Path	*.nrm	
 	Heaven Island Life	*.assets *.resS *.resource	*.Texture2D
 	Heaven Island VR MMO	*.assets *.assets.resS *.resource	*.Texture2D
 	Heavy Dreams	*.win	*.png *.wav
 	Heavy Gunner	*.u	*.palette *.texture
 	Heavy Metal FAKK 2	*.zip	
 	HecatoncheirStory	*.assets *.assets.resS *.resource	*.Texture2D
 	HellCat	*.dat *.win	*.png *.wav
 	Helldivers	*.	*.dds *.ogg *.wav
 	Helldorado	*.pak	
 	Hellforces	*.res	
 	Hellhog XP	*.a	
 	Hello Pollution	*.nw *.pak	*.jpg *.ogg *.png
 	Hellphobia	*.nw *.pak	*.ogg *.png *.wav
 	Hentai 3018	*.assets *.assets.resS *.resource	*.Texture2D
 	Hentai Strike	*.assets *.assets.resS *.resource	*.Texture2D
 	Hentai Tentacle Bicycle Race	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Hercules	*.fs *.fsd	
 	Heretic	*.wad *.rts	
 	Heretic 2	*.pak	
 	Heroes Arena	*.assets *.assets.resS *.resource	*.Texture2D
 	Heroes Chronicles	*.lod *.snd *.vid	
 	Heroes of Annihilated Empires	*.gsc	
 	Heroes of Might and Magic	*.agg	
 	Heroes of Might and Magic 2	*.agg	
 	Heroes of Might and Magic 3	*.lod *.snd *.vid	
 	Heroes of Might and Magic 4	*.h4r	
 	Heroes of Might and Magic 5	*.pak	*.dds *.ogg *.wav
 	Heroes of Newerth	*.s2z	*.dds *.ogg *.tga *.wav
 	Heroes Of The Offworld Arena	*.assets *.assets.resS *.resource	*.Texture2D
 	Heroes Of The Pacific	*.ffs *.fsb *.fsb *.tar	*.ico *.png *.wav
 	Heroes Of The Pacific [PS2]	*.fsb	
 	Heroes Tactics	*._zip	
 	Hexen	*.wad *.rts	
 	Hexen 2	*.pak	
 	Hexopods	*.nw *.pak	*.ogg *.png *.wav
 	Hexus	*.bzs	*.dds *.jpg *.ogg *.png *.psd *.wav
 	Hidden and Dangerous	*.dta	*.bmp *.ogg *.pcx *.wav
 	Hidden And Dangerous	*.rar	
 	Hidden Folks	*.assets *.assets.resS *.resource	*.Texture2D
 	Hidden Strike 2	*.aps	
 	High Heat Baseball 2000	*.table *.tex	*.bmp
 	Highway Pursuit	*.hfd *.hgd *.hmd *.hod *.hsd *.hvd	
 	Hitch Hiker: First Ride	*.assets *.resS	*.Texture2D
 	Hitman (2016)	*.rpkg	
 	Hitman 2	*.rpkg	
 	Hitman 2: Silent Assasin	*.zip	
 	Hitman: Blood Money	*.str *.zip	
 	Hitman: Codename 47	*.dxt *.lgt *.pal *.zip	*.1txd *.3txd *.abgr *.nlap
 	Hitman: Contracts	*.zip	
 	Hitori	*.assets *.assets.resS *.resource	*.Texture2D
 	HIVE	*.pak	*.png *.Texture2D
 	Hollywood Monsters	*.m** *.s**	
 	Homefront	*.upk *.map	*.texture2d
 	Homeworld	*.big *.vce *.wxd	
 	Hoo-Boy	*.assets *.assets.resS *.resource	*.Texture2D
 	Hoopworld	*.u	
 	Hopkins FBI	*.res	
 	Horny Fighter	*.pak	*.ogg *.png *.Texture2D
 	Hospital Tycoon	*.pak	*.dds
 	Hostile Waters	*.mbx *.mng	*.pcx *.ppm *.tga *.wav
 	Hot Rod American Street Drag	*.rod	
 	Hotel Dracula	*.assets *.assets.resS *.resource	*.Texture2D
 	Hotel Giant	*.res	*.bmp *.wav
 	House of 1000 Doors: Family Secrets	*.pak *.pak	
 	House of 1000 Doors: Serpent Flame	*.pak	
 	House of 1000 Doors: The Palm of Zoroaster	*.pak *.pak	
 	House of Caravan	*.assets	*.AudioClip *.Texture2D
 	House Of The Dead 3	*.zip	*.dds
 	How To Survive	*.mcc *.rck *.eng *.rus *.jap *.fre *.ger *.ita *.kor *.por *.sch *.spa *.tha *.tur	*.bmp *.dds *.tga *.wav
 	How To Survive 2	*.rck *.eng *.rus *.jap *.fre *.ger *.ita *.kor *.por *.sch *.spa *.tha *.tur	*.dds *.wav
 	Hoyle Board Games 2005	*.zip	
 	Hoyle Card Games 2005	*.zip	
 	Hoyle Casino 99	*.prf	
 	Hue	*.assets *.resS *.resource	*.Texture2D
 	Hunter's Grimm	*.rgss3a *.zip	*.jpg *.png
 	Hunting Unlimited 3	*.zip	
 	Hurricane Ship Ghost	*.win	*.png *.wav
 	Huxley	*.u	*.palette *.texture
 	Hyper Cycles	*.adt	
 	HyperBall Racing	*.Textures*.3dg	*.dds
 	Hyperdrive Massacre	*.assets	*.AudioClip *.AudioClip *.Texture2D
 	I Want Cookies	*.assets *.assets.resS *.resource	*.Texture2D
 	I Was An Atomic Mutant	*.zip	
 	I, The Gangster	*.rez	
 	Ice Age 2: The Meltdown	*.000	
 	Icons: Combat Arena	*.assets *.resS *.resource	*.Texture2D
 	Iesabel	*.assets *.resS	*.AudioClip *.Texture2D
 	If You Know What I Mean	*.assets *.assets.resS *.resource	*.Texture2D
 	Ignition	*.pfm	
 	IGT Slots Paradise Garden	*.assets *.unity3d	*.AudioClip *.Texture2D
 	Illusoria	*.assets *.assets.resS *.resource	*.Texture2D
 	I'm Not A Monster	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Immersion	*.assets *.assets.resS *.resource	*.Texture2D
 	Imperial Glory	*.pak	
 	Imperialism 2	*.rsr *.rsrc	*.pict
 	Imperium Galactica	*.pac	*.pcx
 	Imperium Galactica 2	*.dat	
 	In Game Adventure: Legend Of Monsters	*.assets *.resS *.resource	*.Texture2D
 	In Memory of TITAN	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	In The Fighting	*.nw *.pak	*.jpg *.ogg *.png
 	In The Raven Shadow	*.dat *.lib	
 	Inca Blocks	*.assets *.assets.resS *.resource	*.Texture2D
 	Inca Marbles	*.assets *.assets.resS *.resource	*.Texture2D
 	Incredible Dracula: Chasing Love	*.pack	*.jpg *.ogg *.png
 	Indecision	*.nw *.pak	*.jpg *.ogg *.png
 	Indiana Jones [PS2]	*.pk2	
 	Indiana Jones And The Infernal Machine	*.gob	*.bmp
 	Indycar Racing	*.dat	*.pcx
 	Infected Battlegrounds	*.assets *.assets.resS *.resource	*.Texture2D
 	Infection: Humanity's Last Gasp	*.assets *.resS *.resource	*.Texture2D
 	Infernal	*.zap	
 	Infernales	*.pak	*.png *.Texture2D
 	Infinite Road	*.assets *.assets.resS *.resource	*.Texture2D
 	Infinity Wings: Scout and Grunt	*.assets *.assets.resS *.resource	*.Texture2D
 	In-Fishermen Freshwater Trophies	*.pkf	
 	Inherit The Earth: Quest For The Orb	*.rsc	
 	Injured By Space	*.nw *.pak	*.jpg *.ogg *.png
 	Inquisitor	*.dat	*.bmp *.ogg *.tga *.wav
 	Insects Runner	*.assets *.assets.resS *.resource	*.Texture2D
 	InstallShield	*.cab *.cab *.cab	
 	Instant Death	*.assets *.resS *.resource	*.Texture2D
 	Insurgency	*.vpk *.vpk *.vpk	*.AudioClip *.cur *.ico *.png *.vtf *.vtf *.wav
 	Interstate '76	*.mw2 *.zfs	*.wav
 	Interstate '82	*.zfs	
 	Invasion of Barbarians	*.nw *.pak	*.ogg *.png
 	Inverted	*.nw *.pak	*.ogg *.png
 	Invisible Mind	*.pak	*.png *.Texture2D
 	iO	*.assets	*.AudioClip *.Texture2D
 	Iron Defense	*.assets *.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Iron Grip: Warlord	*.pk3	*.dds *.ogg *.wav
 	Iron Power	*.pak	*.ogg *.png *.Texture2D
 	Iron Sky Invasion	*.gpk	*.bmp *.dds *.mp3 *.ogg *.png
 	Itch	*.psh	
 	It's Quiz Time	*.assets *.assets.resS *.resource	*.Texture2D
 	IWO: Bloodbath In The Bonins	*.assets	*.AudioClip *.Texture2D
 	Jack Keane	*.dat	*.dds *.tga
 	Jack Nicklaus 4	*.bgf	
 	Jack Nicklaus 5	*.edf	*.wav
 	Jack Orlando	*.pak *.phk *.ph2	
 	Jacked	*.old *.dat	
 	Jacked [PS2]	*.old *.dat	
 	Jade Empire	*.rim	
 	Jagged Alliance 2	*.slf	
 	Jagged Alliance: Deadly Games	*.cpn *.dat	*.pcx
 	James Cameron's Dark Angel [XBox]	*.rcf	
 	Jammerball	*.assets	*.AudioClip *.AudioClip *.Texture2D
 	Jane Angel: Templar Mystery	*.bzs	*.jpg *.ogg *.png *.psd *.wav
 	Janken Cards	*.assets *.assets.resS *.resource	*.Texture2D
 	JASEM Just Another Shooter with Electronic Music	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Jazz Jackrabbit 2	*.it *.j2a *.j2b *.j2l *.j2t	
 	Jedi Knight	*.zip	
 	Jedi Knight: Dark Forces 2	*.gob	
 	Jedi Knight: Mysteries Of The Sith	*.goo *.zip	*.mat *.wav
 	Jets N Guns	*.dat	
 	Joint Operations Combined Arms	*.pff *.sbf	*.dds *.pcx *.png *.tga *.wav *.wav
 	Joint Operations: Escalation	*.pff	
 	Joint Operations: Typhoon Rising	*.pff	
 	Joumee The Hedgehog	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Journey To The Center Of The Earth	*.0000	
 	Juiced	*.dat	
 	Jump Stars	*.pak	*.png *.Texture2D
 	Jump Stop	*.assets *.resS *.resource	*.Texture2D
 	Jump To The Circle	*.assets *.resS *.resource	*.Texture2D
 	Jungle Strike	*.dat	
 	Jurassic City Walk	*.assets *.assets.resS *.resource	*.Texture2D
 	Jurassic Park: Trespasser	*.smk	
 	Just Cause	*.sab	
 	Just Cause 2	*.arc *.fsb	*.dds *.mp3
 	JY2	*.u	*.palette *.texture
 	JYDGE	*.pak	*.jpg *.ogg *.png *.tga
 	Kabounce	*.pak	*.ogg *.png *.Texture2D
 	Kairo	*.assets *.resS	*.AudioClip *.Texture2D
 	Kaleido Chaos	*.assets *.assets.resS *.resource	*.Texture2D
 	Karma. Incarnation 1	*.assets *.assets.resS *.resource *.assets *.assets.resS *.resource *.bundlekarma	*.Texture2D
 	Kathy Rain	*.vox	*.ogg
 	Katie	*.assets *.assets.resS *.resource	*.Texture2D
 	Keatz: The Lonely Bird	*.win	*.ogg *.png *.wav
 	Keep Talking and Nobody Explodes	*.assets *.resS *.resource	*.Texture2D
 	Keeplanet	*.assets *.assets.resS *.resource	*.Texture2D
 	Keepsake	*.zip	*.jpg *.png *.tga
 	Kens Labyrinth	*.kzp	
 	Kentucky Route Zero	*.assets *.resS	*.AudioClip *.AudioClip *.Texture2D
 	Keyboard Sports	*.assets *.resS	*.AudioClip *.Texture2D
 	Kicking Kittens: Putin Saves The World	*.assets *.assets.resS *.resource	*.Texture2D
 	Killer Is Dead	*.u *.upk *.umap	*.texture2d
 	Killer Tank	*.spr	*.bmp
 	Killswitch	*.dat	
 	King Of Fighters XIII	*.pcs	
 	King Of Fighters: Maximum Impact [XBox]	*.pak	
 	Kingdom	*.assets *.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Kingdom Defense	*.assets *.assets.resS *.resource	*.Texture2D
 	Kingdom O Magic	*.dat	
 	Kingdom of Aurelia: Mystery of the Poisoned Dagger	*.assets *.shd	*.AudioClip *.Texture2D
 	Kingdom Rush	*.assets	*.AudioClip *.Texture2D
 	Kingdom: New Lands	*.assets *.resS *.resource	*.Texture2D
 	Kingpin: Life of Crime	*.pak	*.pcx *.tga
 	Kings Bounty: Armored Princess	*.kfs	
 	Kings Bounty: The Legend	*.kfs	*.bmp *.dds *.ogg *.png *.tga *.wav
 	Kings Quest 1: Quest for the Crown	*.vox	*.ogg
 	Kings Quest 2: Romancing the Stones	*.vox	*.ogg
 	KISS Psycho Circus: The Nightmare Child	*.rez	*.bmp *.dtx *.pcx *.wav
 	Kitty Run	*.nw *.pak	*.jpg *.ogg *.png
 	Klingon Academy	*.dat	
 	Klingon Honor Guard	*.u	*.palette *.texture
 	Knife Battles	*.pak	*.png *.Texture2D
 	Knife Flipping	*.assets *.assets.resS *.resource	*.Texture2D
 	Knight Club	*.win	*.png *.wav
 	Knight Online	*.gtt *.dxt	*.ftn
 	Knight Rider 2	*.img	*.tga
 	Knight Rider 2 [PS2]	*.img	
 	Knights Of Hearts	*.assets *.assets.resS *.resource *.unity3d	*.Texture2D
 	Knockdown The Ball	*.pak	*.png *.Texture2D
 	Kohan	*.tgw	*.wav
 	Kohan 2: Kings Of War	*.rwd	*.mp3 *.png *.tga
 	Kong	*.zip	
 	Krondor	*.bin *.bin *.bin *.bin	
 	Kuala Lumpur: Journey To The Edge	*.mhk	
 	Kung Fu Panda	*.dat *.fsb	*.mp3 *.png *.wav
 	Kyrandia	*.pak	
 	Labyrinth Escape	*.pak	*.png *.Texture2D
 	Labyrinths of Atlantis	*.assets *.resS *.resource	*.Texture2D
 	Labyronia RPG	*.rgss3a	*.jpg *.png
 	Labyronia RPG 2	*.rgss3a	*.jpg *.png
 	Laggerjack	*.dat *.win	*.ogg *.png
 	Lagsters	*.pak	
 	Lakeview Cabin Collection	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Land Of Legends	*.wad	
 	Land Of The Dead: Road To Fiddlers Green	*.dz *.u *.uax *.ukx *.usx *.utx	*.palette *.texture *.texture
 	Lands Of Lore: Throne of Chaos	*.pak	
 	Laser Light	*.res	
 	Laserium	*.win	*.ogg *.png *.wav
 	Last Alive	*.assets *.assets.resS *.resource	*.Texture2D
 	Last Call	*.cxt *.dxr *.cxt *.dxr	
 	Last Dynasty	*.itk	
 	Last Encounter	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Last Fort	*.nw *.pak	*.ogg *.png
 	Last Scenario	*.rgssad	*.jpg *.png
 	Lauren's Visit	*.assets *.assets.resS *.resource	*.Texture2D
 	Law And Order 3: Justice Is Served	*.zip	
 	Lawnmower Game 2: Drifter	*.pak	*.png *.Texture2D
 	Layers of Fear	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Le Mans 24 Hours	*.pck *.sam	*.wav
 	Leadfoot	*.pf *.pfb *.pfc	*.bmp *.tga
 	League of Legends	*.fsb *.fsb *.zip	*.bmp *.dds *.gif *.ico *.mp3 *.mp3 *.tga *.wav *.wav
 	Learn to Drive on Moto Wars	*.win	*.png *.wav
 	Learn To Speak French	*.trl *.lts	
 	Left 4 Dead	*.vpk	*.vtf
 	Left 4 Dead 2	*.vpk	*.vtf
 	Legend of Ares	*.gtt *.dxt	*.ftn
 	Legend of Mysteria	*.assets *.resS *.resource *.rgss3a	*.jpg *.png *.Texture2D
 	Legend: Hand Of God	*.pak	*.wav
 	Legendary Hunter VR	*.pak	
 	Legends of Atlantis: Exodus	*.vpb	*.ogg *.png
 	Lego Bionicle Heroes	*.dat	*.dds
 	Lego Digital Designer	*.lif	*.bmp *.gif *.jpg *.png *.wav
 	Lego Loco	*.rfd	*.bmp *.ico *.wav
 	LEGO Lord of the Rings	*.dat	*.ogg *.png *.tex
 	Lego Racers	*.jam	*.tga
 	Lego Rock Raiders	*.wad	
 	Lego Star Wars 2	*.dat	*.bmp *.dds *.gif *.jpg *.png *.tga
 	LEGO The Hobbit	*.dat	*.ogg *.png *.tex *.wav
 	Leisure Suit Larry 6: Shape Up Or Slip Out	*.sfx	
 	Leisure Suit Larry 7: Love For Sail	*.sfx *.aud	*.wav
 	Leisure Suit Larry: Magna Cum Laude	*.afs *.jam	*.bmp *.dds *.tga
 	Lemmings Paintball	*.vsr	
 	Lemmings Revolution	*.box	
 	Lemony Snicket's A Series of Unfortunate Events	*.u *.uax *.ukx *.unr *.usx *.utx	*.palette *.texture *.texture
 	Leon's Crusade	*.nw *.pak	*.jpg *.ogg *.png
 	Lethis: Daring Discoverers	*.assets *.assets.resS *.resource	*.Texture2D
 	Let's Be Architects	*.assets *.resS *.resource	*.Texture2D
 	Let's Zig Zag	*.assets *.resS *.resource	*.Texture2D
 	LGBT vs Russia Battlegrounds	*.assets *.assets.resS *.resource	*.Texture2D
 	Lichdom: Battlemage	*.pak	*.bmp *.dds *.png
 	Life Beetle	*.pak	*.png
 	Lifeblood	*.pak	*.png *.Texture2D
 	Light Of Altair	*.pak	
 	Lightning: D-Day	*.assets *.resS *.resource	*.Texture2D
 	Limbo	*.pkg	
 	Limiter	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Line Of Sight: Vietnam	*.za	
 	Lineage 2	*.u	*.palette *.texture
 	Lineage 3	*.u	*.palette *.texture
 	Lineage Eternal	*.dat	
 	Links 368 Pro	*.crh *.mga *.fga *.lz *.wlz	
 	Links LS	*.ls *.crx *.ani	
 	Lion	*.gxl	
 	Lionheart: Legacy Of The Crusader	*.dat	
 	Little Farm	*.sfs	*.ogg *.png
 	Liveza: Death of the Earth	*.nw *.pak	*.ogg *.png
 	LMA Manager 2007	*.mng	*.dds *.tm2
 	Lock Parsing 2	*.pak	*.png *.Texture2D
 	Lode Runner Online	*.prs	
 	London Racer: Police Madness	*.img	
 	London Racer: Police Madness [PS2]	*.img	
 	London Taxi Rush Hour	*.wad	*.bmp *.png *.wav
 	Lord Of The Rings: Return Of The King	*.scw	
 	Lord Of The Rings: Return Of The King [XBox]	*.scx	
 	Lord Of The Rings: The Battle For Middle Earth	*.scw	
 	Lord Of The Rings: The Battle For Middle Earth [XBox]	*.scw	
 	Lord Of The Rings: The Battle For Middle Earth 2	*.viv *.big	*.dds *.mp3 *.tga *.wav
 	Lord Of The Rings: The Battle For Middle Earth 2 [XBox]	*.viv *.big	
 	Lord Of The Rings: The Fellowship Of The Ring	*.scw	
 	Lord Of The Rings: The Two Towers	*.scw	
 	Lord Of The Rings: War Of The Ring	*.h2o	
 	Lost	*.assets *.assets.resS *.resource	*.Texture2D
 	Lost in Space	*.assets *.assets.resS *.resource	*.Texture2D
 	Lost in the Dungeon	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Lost in the Forest	*.nw *.pak	*.ogg *.png
 	Lost Legends: The Weeping Woman	*.dat	*.jpg *.ogg *.png *.tga
 	Lost Odyssey	*.u	*.palette *.texture
 	Lost Planet	*.arc	*.ogg *.png *.tex
 	Lost with Dinosaurs	*.nw *.pak	*.ogg *.png
 	Love	*.win	*.ogg *.png
 	Lovely Planet	*.assets *.resS	*.AudioClip *.Texture2D
 	Lucius Demake	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Lucky Panda	*.nw *.pak	*.png
 	Luna Sky	*.vsx	
 	Luxor 2 HD	*.mjz	*.jpg *.ogg *.png *.tga
 	Luxor 3	*.nhp	*.jpg *.png
 	Luxor Amun Rising HD	*.mjz	*.dds *.jpg *.ogg *.png *.tga
 	Luxor Evolved	*.mjz	*.dds *.jpg *.ogg *.png *.tga
 	Luxor HD	*.mjz	*.dds *.jpg *.ogg *.png *.tga
 	Luxor Mahjong	*.mjz	*.jpg *.ogg *.tga
 	Luxor: 5th Passage	*.pfp	*.jpg *.ogg *.png *.tga
 	Luxor: Quest for the Afterlife	*.npk	*.jpg *.ogg *.png
 	Macromedia Director	*.cxt *.dxr *.cxt *.dxr	
 	Macromedia Shockwave	*.cxt *.dxr *.cxt *.dxr	
 	Mad Dog McCree	*.lib	
 	Mad Dog McCree 2: The Lost Gold	*.lib	
 	Mad Games Tycoon	*.assets *.resS *.resource	*.Texture2D
 	Mad Ugly Dirty (M.U.D) TV	*.dat	*.dds *.png
 	Madagascar: Escape 2 Africa	*.arc *.bld	
 	Madden 2004	*.dat	
 	Madden 2005	*.dat	
 	Made Man	*.mfs	*.jpg *.tga *.wim
 	MageSlayer	*.vpk	*.wav
 	Magic and Challenge RPG	*.pak	*.png *.wav
 	Magic: The Gathering	*.cat	
 	Magic: The Gathering: Battlegrounds	*.u	*.palette *.texture
 	Magic: The Gathering: Online	*.pig	*.png
 	MagiCats Builder	*.assets *.resS *.resource	*.Texture2D
 	Magma Tsunami	*.assets	*.AudioClip *.Texture2D
 	Majesty 2	*.pak	*.bmp *.dds *.mp3 *.tga *.wav
 	Mall Tycoon	*.muk	*.tex *.wav
 	Maniac Mansion Deluxe	*.vox	
 	Manual Samuel	*.assets *.assets.resS *.resource	*.Texture2D
 	Marathon 2	*.sndA	
 	Marathon Infinity	*.sndA	
 	March of the Living	*.assets *.assets.resS *.resource	*.AudioClip *.AudioClip *.Texture2D
 	Marco Polo	*.dat	
 	Marine Sharpshooter	*.rez	
 	Marine Sharpshooter 2: Jungle Warfare	*.rez	
 	Mario Party 4 [GameCube]	*.bin	
 	Mario Party 5 [GameCube]	*.bin	
 	Mario Party 6 [GameCube]	*.bin	
 	Mario Party 7 [GameCube]	*.bin	
 	Mashed	*.piz *.piz	*.dds *.png
 	Mass Effect	*.u	*.palette *.texture
 	Mass Effect 2	*.pcc *.upk	*.texture2d
 	Master of Magic	*.lbx	
 	Master of Orion	*.lbx	
 	Master of Orion 2	*.lbx	*.wav
 	Master of Orion 3	*.mob	
 	Mata Hari	*.dat	*.dds *.ogg *.wav
 	Match Point	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Math Problem Challenge	*.assets *.assets.resS *.resource	*.Texture2D
 	Math Speed Challenge	*.assets *.assets.resS *.resource	*.Texture2D
 	MAX	*.res	
 	Max And The Magic Marker	*.assets	*.ogg *.Texture2D *.wav
 	Max Payne [Android]	*.msf	*.mp3
 	Max: The Curse of Brotherhood	*.assets *.resS	*.AudioClip *.AudioClip *.Texture2D
 	Maximus XV	*.zip	
 	Maze Lord	*.assets *.assets.resS *.resource	*.Texture2D
 	Maze Of Pain	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	McFarlane's Monsters: Evil Prophecy [PS2]	*.bin	
 	MDK	*.bni *.mti *.mto *.sni	*.wav
 	MDK2	*.zip	
